time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup,semf
220940,268256,45894,536,trajectory.hermopoulis_standard1_200,10,17,22529,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018228,2068013164,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
213273,269614,45962,537,trajectory.hermopoulis_standard1_200,10,16,51806,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018278,2073052835,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
209713,269614,45962,537,trajectory.hermopoulis_standard1_200,10,15,108027,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018278,2073052835,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
209872,269614,45962,537,trajectory.hermopoulis_standard1_200,10,14,209257,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,5018278,2073052835,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
112009,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
1070255,43994,429038,294,trajectory.hermopoulis_standard,400,12,10315057,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,15013874,2727213849,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
17819922,91290,530860,437,trajectory.hermopoulis_standard,300,12,137482782,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,317020267,92453513473,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
14886,7484,267468,116,trajectory.hermopoulis_standard,500,12,1247,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,Infinity,103483,6030397,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
4050,1986,267468,116,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,1.0,0,0,NaN,NaN,NaN,MOBILITY-PLACE-ACTIVITY
3228,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,1.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
113136,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
147437,15056,286298,155,trajectory.hermopoulis_standard,475,12,1261643,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,1684829,140733412,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
262630,30866,371974,231,trajectory.hermopoulis_standard,450,12,2222200,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,3078038,432023255,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
509232,36846,402106,263,trajectory.hermopoulis_standard,425,12,4678715,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,6662961,1071199234,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
15267,5420,267468,116,trajectory.hermopoulis_standard,500,12,1247,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,4.0,103483,6030397,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
3674,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,4.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
3960,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,6.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
6119,12420,174160,126,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,2399,204515,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
146928,192966,427258,513,trajectory.hermopoulis_standard,200,12,46546,1000000,1,1000000,10,2,8g,AbsoluteScale,60,Infinity,19,Infinity,2056604,855826810,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
5318,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,10.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
20009,5420,267468,116,trajectory.hermopoulis_standard,500,12,1247,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,4.0,103483,6030397,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
3087,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,12.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
3504,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,20.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
159725,7046,429038,294,trajectory.hermopoulis_standard,400,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,20.0,19,Infinity,3942211,832612461,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
4281,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,48.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
126750,14278,281340,150,trajectory.hermopoulis_standard,500,10,813872,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961406,78850325,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
151309,24326,343210,198,trajectory.hermopoulis_standard,500,8,840067,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961788,122049963,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
132840,24326,343420,198,trajectory.hermopoulis_standard,500,6,859161,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961795,122050023,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
3717734,15642,294954,141,trajectory.hermopoulis_standard,500,12,39159311,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,18,Infinity,39262669,2544623519,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
4148322,18484,313284,158,trajectory.hermopoulis_standard,500,12,30549359,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,17,Infinity,69071871,6730820903,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
68413,17904,299584,160,trajectory.hermopoulis_standard,500,12,384803,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,16,Infinity,457514,43933460,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
100617,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,500000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
108827,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,250000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
635133,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,1,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
232158,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,3,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
146646,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,6,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
104943,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,2g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
109101,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,4g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
106845,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,6g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
105304,14278,281340,150,trajectory.hermopoulis_standard,500,12,726353,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,Infinity,19,Infinity,961388,78849926,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
4340,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,72.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
5317,3150,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,120.0,19,Infinity,45,5872,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
21662,4188,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,10000.0,19,Infinity,558600,49773034,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
26333,4782,281340,150,trajectory.hermopoulis_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,3600,14400.0,19,Infinity,749762,64751451,0.0,0.0,0.0,MOBILITY-PLACE-ACTIVITY
