time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns
1602554,784370,23953526,1791,trajectory.oldenburg_standard,500,12,19361,1000000,1,1000000,10,2,8g,AbsoluteScale,6,7.0,19,Infinity,2569693
1735127,784370,23953520,1791,trajectory.oldenburg_standard,500,12,19361,1000000,1,1000000,10,2,8g,AbsoluteScale,6,6.0,19,Infinity,2569693
1634925,285960,23953522,1791,trajectory.oldenburg_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,6,5.0,19,Infinity,2471562
1691468,0,24364420,1838,trajectory.oldenburg_standard,500,12,78226,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,18,Infinity,3023484
1528164,0,25046128,2101,trajectory.oldenburg_standard,500,12,34189,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,17,Infinity,2100318
1837978,0,25576820,2232,trajectory.oldenburg_standard,500,12,86873,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,16,Infinity,2480559
24178,0,236902,3302,trajectory.oldenburg_standard_2000_distinct,10,34,24,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,64948
24211,0,238378,3310,trajectory.oldenburg_standard_2000_distinct,10,33,37,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,65670
22916,0,240694,3321,trajectory.oldenburg_standard_2000_distinct,10,32,51,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,66918
25690,0,243336,3338,trajectory.oldenburg_standard_2000_distinct,10,31,73,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,67836
26699,0,245028,3350,trajectory.oldenburg_standard_2000_distinct,10,30,112,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,68624
28997,0,258334,3503,trajectory.oldenburg_standard_2000_distinct,10,25,558,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,73468
31582,0,265732,3576,trajectory.oldenburg_standard_2000_distinct,10,20,2294,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,76230
37251,0,272116,3639,trajectory.oldenburg_standard_2000_distinct,10,15,8566,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,77804
52962,0,274468,3659,trajectory.oldenburg_standard_2000_distinct,10,10,25778,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78153
38442,0,275526,3674,trajectory.oldenburg_standard_2000_distinct,10,5,58407,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78220
27796,0,247864,3371,trajectory.oldenburg_standard_2000_distinct,10,29,153,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,69927
27581,0,250960,3412,trajectory.oldenburg_standard_2000_distinct,10,28,226,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71105
28543,0,252668,3422,trajectory.oldenburg_standard_2000_distinct,10,27,310,1000000,1,1000000,11,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71819
29439,0,254910,3446,trajectory.oldenburg_standard_2000_distinct,10,26,409,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,72970
20192,0,231174,3228,trajectory.oldenburg_standard_2000_distinct,10,35,14,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,62085
