dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,5,15,810,0,1123, 2807,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,15,790,0,941, 2758,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,15,790,0,1232, 2832,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,15,810,0,947, 2841,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,15,790,0,1170, 2857,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,15,790,0,1056, 4027,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,15,800,3,2090, 4220,50,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,15,1034,3,1713, 3780,50,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,15,763,3,1316, 3706,50,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,15,762,3,1246, 3785,50,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,15,9048,6,2832, 4644,100,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,15,36693,34,4829, 6462,100,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
